Date,Close,chg,nextWeekChg,signal,predictChg,PredClose,Predict,d_0,d_1,d_2,d_3,d_4,sum
2016-11-29,203.60000610351562,-0.005859360011527537,0.9646364833438631,False,0.9782812,199.17805827712982,0,0,0.0,0.0,0.0,0.0,0.0
2016-11-30,204.0,0.0019646065053702255,0.9490196377623314,False,0.9797711,199.87329983711243,0,0,0.0,0.0,0.0,0.0,0.0
2016-12-01,204.1999969482422,0.000980377197265625,0.9549461455154964,False,0.982161,200.5572702356194,0,0,0.0,0.0,0.0,0.0,0.0
2016-12-02,202.8000030517578,-0.0068559937189383025,0.9501972093119844,False,0.98509604,199.77747938853008,0,0,0.0,0.0,0.0,0.0,0.0
2016-12-05,197.39999389648438,-0.026627263678567492,0.9604863828057714,False,0.98835814,195.10189080191412,0,0,0.0,0.0,0.0,0.0,0.0
2016-12-06,196.39999389648438,-0.005065856286319836,0.9653768431553374,False,0.9917649,194.78262090940916,0,0,0.0,0.0,0.0,0.0,0.0
2016-12-07,193.60000610351562,-0.014256557433726447,0.9814049277374983,False,0.99517894,192.66664845385094,0,0,0.0,0.0,0.0,0.0,0.0
2016-12-08,195.0,0.007231373204274583,0.9584615071614584,False,0.99793106,194.59655731916428,0,0,0.0,0.0,0.0,0.0,0.0
2016-12-09,192.6999969482422,-0.011794887444911861,0.9605605035543002,False,1.000856,192.86495622135226,1,1,0.0,0.0,0.0,0.0,1.0
2016-12-12,189.60000610351562,-0.016087134892686095,0.9630801699648773,False,1.0038294,190.32605278445044,1,1,1.0,0.0,0.0,0.0,2.0
2016-12-13,189.60000610351562,0.0,0.9604430392480828,False,1.0060385,190.74491456856413,1,1,1.0,1.0,0.0,0.0,3.0
2016-12-14,190.0,0.0021096723818985197,0.9584210847553454,False,1.0076948,191.46201968193054,1,1,1.0,1.0,1.0,0.0,4.0
2016-12-15,186.89999389648438,-0.016315821597450708,0.9684323483726162,False,1.0086576,188.51809454640534,1,1,1.0,1.0,1.0,1.0,5.0
2016-12-16,185.10000610351562,-0.009630753620921362,0.9719070122335751,False,1.0087695,186.72324286091316,1,1,1.0,1.0,1.0,1.0,5.0
2016-12-19,182.60000610351562,-0.013506212412558782,0.9895946928161857,False,1.0085642,184.16383524399862,1,1,1.0,1.0,1.0,1.0,5.0
2016-12-20,182.10000610351562,-0.002738225538265082,0.9934101473541461,False,1.0080516,183.56620867398306,1,1,1.0,1.0,1.0,1.0,5.0
2016-12-21,182.10000610351562,0.0,1.0060405865340898,True,1.007293,183.42805888335715,1,1,1.0,1.0,1.0,1.0,5.0
2016-12-22,181.0,-0.00604067032754696,1.0182320610594355,True,1.0064114,182.16046941280365,1,1,1.0,1.0,1.0,1.0,5.0
2016-12-23,179.89999389648438,-0.006077381787379155,1.015008406329268,True,1.0053087,180.8550375018349,1,1,1.0,1.0,1.0,1.0,5.0
2016-12-28,180.6999969482422,0.0044469320672579915,1.025456592037648,True,1.0041122,181.44307936367113,1,1,1.0,1.0,1.0,1.0,5.0
2016-12-29,180.89999389648438,0.0011067899923622448,1.024875622729844,True,1.003074,181.45608951361282,1,1,1.0,1.0,1.0,1.0,5.0
2016-12-30,183.1999969482422,0.012714224042892575,1.0131004868736515,True,1.002732,183.7005063927245,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-03,184.3000030517578,0.006004400228382112,1.0173629782705078,True,1.0030866,184.86885734546377,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-04,182.60000610351562,-0.0092240744443437,1.031215754423419,True,1.0034783,183.23514163232903,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-05,185.3000030517578,0.014786401193828791,1.007015666650554,True,1.0034677,185.94256398543985,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-06,185.39999389648438,0.0005396159907165021,1.0059331506997233,True,1.0036057,186.06849498932206,1,1,1.0,1.0,1.0,1.0,5.0
